,Latitude,Longitude,Started,LocationIndex
238,38.058,-120.66,20140622,7
984,37.81827,-120.65764,20170718,7
552,37.98171,-120.64241,20160721,7
1520,37.838333,-120.625556,20190923,7
1124,37.83388,-120.61746,20180908,7
356,37.83618,-120.61691,20150815,7
486,38.02845,-120.61153,20160702,7
355,38.052,-120.5577,20150813,7
536,37.927613,-120.528836,20160530,7
909,37.896778,-120.504134,20170919,7
852,37.64898,-120.4925,20170708,7
1183,38.08424,-120.46078,20180805,7
913,37.85137,-120.45268,20170611,7
122,38.06231,-120.45233,20130817,7
217,37.787,-120.452,20140605,7
204,37.76617,-120.45087,20140604,7
1598,37.949747,-120.420058,20190808,7
709,37.905545,-120.408135,20170729,7
1622,37.492002,-120.401028,20190913,7
793,37.90014,-120.36005,20170730,7
915,37.65963,-120.34802,20170707,7
247,37.8316,-120.3434,20140904,7
1081,37.39339,-120.34207,20180615,7
87,37.91529,-120.33313,20130602,7
469,37.79635,-120.32484,20160926,7
973,37.65986,-120.31157,20170801,7
362,38.04684,-120.30188,20150908,7
1173,37.80785,-120.30187,20180624,7
792,37.62823,-120.30046,20170813,7
1458,37.524378,-120.296551,20190708,7
620,37.61757,-120.21321,20170716,7
1442,37.532028,-120.208019,20190815,7
1193,37.707234,-120.199162,20180618,7
225,37.7103,-120.197,20140610,7
1371,37.536069,-120.177018,20190816,7
1023,37.76888,-120.15846,20170920,7
333,37.823,-120.15644,20150729,7
0,37.857,-120.086,20130817,7
1307,37.69965,-120.0545,20180804,7
506,37.75972,-120.029626,20160913,7
1404,37.604638,-119.96606,20191006,7
678,38.12,-119.941,20170903,7
749,37.4591,-119.921,20170702,7
23,37.58202,-119.91071,20130616,7
1063,37.6549,-119.88581,20180713,7
991,37.41231,-119.87465,20171003,7
1251,37.47677,-119.84299,20180615,7
1043,37.73596,-119.78256,20170907,7
1134,37.38789,-119.68912,20180922,7
642,37.44663,-119.64622,20170829,7
648,37.644,-119.618,20170801,7
651,37.538,-119.598,20170814,7
472,37.97,-119.14,20160625,7
1084,37.571,-119.118,20180611,7
1136,37.735461,-118.970443,20180731,7
446,37.75985,-118.95309,20160917,7
1406,37.826,-118.872,20190906,7
