Latitude,Longitude,Started
38.058,-120.66,20140622
39.3918,-120.0805,20140818
0,0,20140828
37.5359,-121.5118,20140711
0,0,20140907
0,0,20140723
40.5719,-121.3415,20140705
36.103,-121.117,20140430
39.4664,-121.6129,20140714
37.8316,-120.3434,20140904
0,0,20140701
121.999,38.453,20140612
0,0,20140916
0,0,20140921
0,0,20140101
33.5982,-116.1985,20140328
0,0,20140514
40.39,-122.721,20140514
33.93869,-117.70643,20141016
35.8218,-121.0226,20140707
36.991825,-119.525506,20140609
39.1871,-121.2687,20140707
0,0,20140801
0,0,20140527
0,0,20140606
0,0,20140729
38.608336,-120.703238,20140709
32.665,-116.222,20140505
38.695961,-122.384054,20140911
0,0,20140929
40,29.24,20140829
36.742747,-119.241493,20140611
38.9195001,-120.1140659,20140925
32.59154,-116.89516,20140816
0,0,20140103
40.41,-123.24,20140701
0,0,20140721
0,0,20140604
37,18.4,20140826
0,0,20140824
41.796,-123.374,20140811
36.874,-118.905,20150731
0,0,20150730
38.8863538,-122.4762475,20150729
0,0,20150730
34.16027778,-116.8927778,20150617
0,0,20150731
0,0,20150730
38.8142503,-122.4867319,20150809
38.8142503,-122.4867319,20150809
40.938,-120.105,20150803
0,0,20150801
0,0,20150206
0,0,20150206
36.24,-118.54,20150719
37.279722,-119.50014,20150725
0,0,20150730
41.399,-121.392,20150730
34.339,-117.478,20150717
0,0,20150814
37.3845,-121.3732,20150819
35.3477,-120.6269,20150816
39.192088,-120.882313,20150725
0,0,20150813
0,0,20150620
40.924,-123.168,20150610
0,0,20150731
0,0,20150718
36.3699644,-121.589554,20150919
33.884313,-117.642759,20150418
39.5218,-121.3363,20150911
37.165767,-119.523943,20150618
0,0,20151003
55.23,-122,20150902
36.70854,-121.32734,20151012
33.5736,-116.5387,20150810
0,0,20150206
0,0,20150618
36.085212,-118.824235,20150721
0,0,20150907
34.361007,-118.535793,20150624
39.43963,-121.38794,20150729
0,0,20150816
0,0,20150702
0,0,20150816
0,0,20150605
0,0,20150802
37.08312,-121.06963,20150511
0,0,20150528
0,0,20150730
0,0,20150909
38.925764,-122.879272,20150822
33.7626,-117.7274,20150713
40.415108,-122.439939,20150729
0,0,20150629
37.823,-120.15644,20150729
34.367,-117.683,20150717
41.485,-121.851,20150224
37.81629,-121.68113,20150730
0,0,20150814
41.8048,-122.5029,20150713
32.9421,-116.8534,20150617
40.400196,-120.553075,20150909
39.8448,-122.3638,20150704
0,0,20150820
33.383889,-116.868611,20150724
0,0,20150622
41.295667,-123.784067,20150724
39.2688,-121.26471,20150618
38.4113,-122.0789,20150706
0,0,20150701
40.1058823,-124.0720419,20150818
40.05083333,-120.7016667,20150413
37.072561,-119.6958,20150621
40.724898,-122.96174,20150825
0,0,20150618
41.29226,-121.172117,20150723
38.052,-120.5577,20150813
37.83618,-120.61691,20150815
0,0,20150630
0,0,20150903
40.3506868,-121.7786799,20150808
0,0,20150608
40.47512,-122.52541,20150911
38.04684,-120.30188,20150908
39.8707,-121.8938,20151002
34.165974,-117.243878,20150625
36.5696373,-121.7556029,20150919
35.7183,-121.0157,20150710
40.49865,-122.20109,20150730
36.49845,-118.9009,20150730
32.6449163,-116.9454387,20150626
0,0,20150601
40.856422,-121.101623,20150723
40.67868,-121.93244,20150802
40.509552,-122.199227,20150729
38.776,-120.404,20150723
0,0,20150701
26.42,-121,20150902
0,0,20150820
35.77937,-120.19482,20150615
0,0,20150801
0,0,20150718
40.875667,-121.033667,20150619
0,0,20150618
0,0,20150618
38.260777,-121.135426,20150616
40.3929,-122.40546,20150803
0,0,20151010
34.23,-116.883,20150823
33.4115972,-117.2886249,20150809
40.0133,-122.552,20150617
34.0783472,-117.0487863,20150712
0,0,20150625
34.9522,-120.2903,20150801
34.15,-118.879444,20151107
39.43301,-123.36316,20150730
0,0,20150909
0,0,20150702
0,0,20150605
0,0,20150709
0,0,20150630
40.400196,-120.553075,20150909
37.24523,-121.20324,20150728
38.1029,-122.1578,20150710
38.5287,-122.3415,20150616
0,0,20150609
40,41.46,20150908
0,0,20150703
39.7806004,-123.248214,20150628
39.081,-121.194,20150922
41.12362,-121.194256,20150829
39.33303,-121.18735,20150803
0,0,20151111
38.9361,-121.1548,20150722
32.682547,-116.51684,20150724
36.8727,-121.5681,20150720
33.21407,-116.73472,20150716
0,0,20150702
0,0,20150607
0,0,20150605
0,0,20150605
41.999341,-121.891226,20150721
39.0263,-123.303,20150704
38.831478,-122.53428,20150824
34.4828,-119.63216,20151029
33.986204,-117.43942,20150712
41.1513,-123.8292,20150610
38.519132,-122.181878,20150627
40.5953,-122.4397,20150707
40.1093,-123.774,20150728
0,0,20150730
38.598056,-119.751944,20150619
36.45994,-121.89938,20160722
35.6115,-118.45628,20160623
35.70595,-120.98316,20160813
34.30372,-117.49342,20160816
41.851,-123.118,20160827
0,0,20160818
35.7506,-118.5678,20160816
34.63445,-120.54421,20160917
34.28771,-117.27338,20160807
32.60729,-116.63028,20160619
34.776,-119.643,20160615
36.09974,-120.51057,20160809
38.52513,-122.06788,20160802
38.96741,-120.9375,20160628
38.96741,-120.9375,20160628
37.75985,-118.95309,20160917
0,0,20160620
34.31,-118.335,20161114
37.10632,-121.85318,20160926
35.984,-118.551,20161029
38.89741,-122.60664,20160813
36.38123,-121.20059,20160522
0,0,20160518
36.0749,-120.452041,20160701
41.623,-123.557,20160607
0,0,20160804
41.2649,-120.3178,20160917
40.3915,-120.7845,20160911
36.01542,-121.25029,20160604
34.701,-119.144,20160630
37.01591,-119.50507,20160730
36.94536,-119.25959,20161011
35.20993,-118.72272,20160701
38.80017,-122.82895,20160925
0,0,20160830
37.07147,-121.20155,20160625
33.393,-117.35093,20160721
34.36763,-118.57245,20160709
37.79635,-120.32484,20160926
39.6871,-121.571,20160905
41.7813,-122.611,20160824
37.97,-119.14,20160625
41.28486,-123.82268,20160822
34.913,118.9082,20160708
39.6708,-121.7192,20160802
35.2013,-118.7212,20160826
40.0353,-122.56939,20160630
38.1874,-120.6381,20160828
40.36873,-122.72913,20160708
36.16965,-121.38775,20160818
36.1648,-118.73906,20160822
41.4657,-120.9066,20160911
38.385,-121.003611,20160628
40.30594,-122.1295,20160913
38.08056,-120.81394,20160712
